iter	Passed	Remaining
825	24173	5092
826	24203	5063
827	24245	5036
828	24270	5006
829	24296	4976
830	24323	4946
831	24355	4917
832	24385	4888
833	24413	4859
834	24445	4830
835	24474	4801
836	24504	4772
837	24534	4743
838	24565	4714
839	24594	4684
840	24625	4655
841	24657	4626
842	24687	4597
843	24716	4568
844	24744	4538
845	24773	4509
846	24804	4480
847	24835	4451
848	24863	4422
849	24890	4392
850	24917	4362
851	24949	4333
852	24979	4304
853	25007	4275
854	25034	4245
855	25064	4216
856	25093	4187
857	25122	4157
858	25152	4128
859	25180	4099
860	25207	4069
861	25251	4042
862	25277	4012
863	25307	3983
864	25334	3953
865	25361	3924
866	25391	3895
867	25422	3866
868	25451	3836
869	25481	3807
870	25510	3778
871	25538	3748
872	25569	3719
873	25599	3690
874	25629	3661
875	25655	3631
876	25687	3602
877	25718	3573
878	25748	3544
879	25775	3514
880	25806	3485
881	25837	3456
882	25866	3427
883	25896	3398
884	25927	3369
885	25955	3339
886	25988	3310
887	26020	3281
888	26049	3252
889	26076	3222
890	26106	3193
891	26139	3164
892	26168	3135
893	26194	3105
894	26222	3076
895	26317	3054
896	26335	3024
897	26355	2993
898	26377	2963
899	26401	2933
900	26433	2904
901	26467	2875
902	26499	2846
903	26533	2817
904	26560	2788
905	26578	2757
906	26608	2728
907	26637	2698
908	26664	2669
909	26691	2639
910	26724	2610
911	26754	2581
912	26783	2552
913	26813	2522
914	26842	2493
915	26871	2464
916	26901	2434
917	26928	2405
918	26961	2376
919	26992	2347
920	27018	2317
921	27045	2287
922	27074	2258
923	27103	2229
924	27133	2200
925	27162	2170
926	27191	2141
927	27220	2111
928	27248	2082
929	27279	2053
930	27307	2023
931	27349	1995
932	27376	1965
933	27403	1936
934	27430	1906
935	27456	1877
936	27487	1848
937	27518	1818
938	27547	1789
939	27575	1760
940	27606	1730
941	27633	1701
942	27665	1672
943	27695	1642
944	27724	1613
945	27755	1584
946	27788	1555
947	27817	1525
948	27846	1496
949	27877	1467
950	27908	1437
951	27939	1408
952	27969	1379
953	27998	1350
954	28028	1320
955	28059	1291
956	28088	1262
957	28116	1232
958	28147	1203
959	28178	1174
960	28209	1144
961	28238	1115
962	28270	1086
963	28301	1056
964	28340	1027
965	28369	998
966	28397	969
967	28426	939
968	28453	910
969	28483	880
970	28516	851
971	28545	822
972	28574	792
973	28608	763
974	28638	734
975	28665	704
976	28693	675
977	28721	646
978	28757	616
979	28788	587
980	28817	558
981	28848	528
982	28855	499
983	28885	469
984	28913	440
985	28940	410
986	28972	381
987	29005	352
988	29034	322
989	29061	293
990	29090	264
991	29118	234
992	29147	205
993	29178	176
994	29208	146
995	29238	117
996	29267	88
997	29296	58
998	29326	29
999	29366	0
